target,model,r2,mae,rmse,mape,n_train,n_test,n_features
solar_radiation_wm2,rf,0.9994,1.9823,3.4524,119062.06,119116,29780,34
solar_radiation_wm2,gb,0.9993,2.3816,3.7659,2064159845.67,119116,29780,34
solar_radiation_wm2,xgb,0.9995,1.9824,3.1645,942677482.48,119116,29780,34
wind_speed,rf,0.9977,0.0232,0.0349,2.45,119116,29780,34
wind_speed,gb,0.9855,0.0391,0.0887,5.1,119116,29780,34
wind_speed,xgb,0.9958,0.0269,0.0476,2.95,119116,29780,34
