target,model,r2,mae,rmse,mape,n_train,n_test,n_features
solar_radiation_wm2,rf,0.9992,3.971,8.7547,2583.07,119116,29780,34
solar_radiation_wm2,gb,0.9991,4.6482,9.1315,7901803972.26,119116,29780,34
solar_radiation_wm2,xgb,0.9993,4.0297,8.1657,3418993466.96,119116,29780,34
wind_speed,rf,0.9881,0.0492,0.0857,3.64,119116,29780,34
wind_speed,gb,0.9817,0.069,0.1063,5.17,119116,29780,34
wind_speed,xgb,0.993,0.0427,0.0656,3.39,119116,29780,34
