target,model,r2,mae,rmse,mape,n_train,n_test,n_features
solar_radiation_wm2,rf,0.9979,4.3247,8.7107,126160.67,119097,29775,34
solar_radiation_wm2,gb,0.9981,4.7608,8.3772,31555586917.88,119097,29775,34
solar_radiation_wm2,xgb,0.9982,4.1804,8.0987,3625621876.94,119097,29775,34
wind_speed,rf,0.9953,0.0766,0.1105,2.93,119097,29775,34
wind_speed,gb,0.9967,0.0686,0.0925,2.97,119097,29775,34
wind_speed,xgb,0.9962,0.0589,0.0994,2.37,119097,29775,34
